This is an RPBCAC agent
This is an RPBCAC agent
This is an RPBCAC agent
This is an RPBCAC agent
This is a malicious agent
{'n_agents': 5, 'agent_label': ['Cooperative', 'Cooperative', 'Cooperative', 'Cooperative', 'Malicious'], 'n_actions': 5, 'n_states': 2, 'n_episodes': 10000, 'max_ep_len': 20, 'slow_lr': 0.002, 'fast_lr': 0.01, 'gamma': 0.9, 'H': 0, 'eps': 0.05, 'n_ep_fixed': 100, 'n_epochs': 20, 'in_nodes': [[0, 1, 2, 3], [1, 2, 3, 4], [2, 3, 4, 0], [3, 4, 0, 1], [4, 0, 1, 2]], 'randomize_state': True, 'scaling': True, 'resilient_method': 'projection-based', 'summary_dir': './simulation_results/', 'random_seed': 1000, 'desired_state': array([[3, 0],
       [3, 4],
       [1, 5],
       [0, 1],
       [5, 0]]), 'initial_state': array([[1, 4],
       [3, 4],
       [4, 5],
       [2, 2],
       [1, 4]])}
| Episode: 0 | Est. returns: 0.8521022796630859 | Returns: [-3.56582589 -1.06972575 -5.30362653 -1.73725984 -3.1510708 ] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 1 | Est. returns: 0.7325328588485718 | Returns: [-3.86672706 -4.1204473  -4.04159729 -1.12049752 -4.93297814] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 2 | Est. returns: 0.4000389873981476 | Returns: [-2.46228228 -1.70533912 -1.44484438 -3.3333596  -3.23281817] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 3 | Est. returns: 0.6324490308761597 | Returns: [-2.29031714 -4.33057994 -3.64735823 -0.91268626 -4.28614264] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 4 | Est. returns: 0.6668061017990112 | Returns: [-4.28999726 -2.13871316 -4.50723604 -0.85287068 -3.73463597] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 5 | Est. returns: 0.1646980196237564 | Returns: [-2.57649799 -3.90251647 -4.53334407 -3.19634852 -2.54985948] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 6 | Est. returns: 0.41319990158081055 | Returns: [-3.16590374 -1.6856642  -1.507739   -4.78707096 -7.62859057] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 7 | Est. returns: 1.4060969352722168 | Returns: [-5.71425289 -4.19477509 -2.22982071 -4.11656287 -3.15514129] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 8 | Est. returns: 1.0226248502731323 | Returns: [-2.32838098 -2.73103215 -5.16320328 -3.06295003 -6.02856382] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 9 | Est. returns: 1.291589617729187 | Returns: [-5.05184319 -4.43897188 -3.45239721 -0.6757367  -3.58724433] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 10 | Est. returns: 0.6802917718887329 | Returns: [-5.37100252 -2.31729038 -5.60347934 -4.65596506 -3.24553587] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
